State,Sector,GDP
New Mexico,Food and beverage and tobacco product manufacturing,$411
New Mexico,Fabricated metal product manufacturing,$132
New Mexico,Other transportation equipment manufacturing,$74
New Mexico,Plastics and rubber products manufacturing,$47
New Mexico,Computer and electronic product manufacturing,$3815
New Mexico,Machinery manufacturing,$73
New Mexico,Wood product manufacturing,$40
New Mexico,Furniture and related product manufacturing,$33
New Mexico,Nonmetallic mineral product manufacturing,$113
New Mexico,Textile mills and textile product mills,$22
New Mexico,"Electrical equipment, appliance, and component manufacturing",$44
New Mexico,Miscellaneous manufacturing,$110
New Mexico,Apparel and leather and allied product manufacturing,$10
New Mexico,Printing and related support activities,$29
New York,"Motor vehicle, body, trailer, and parts manufacturing",$978
New York,Petroleum and coal products manufacturing,$589
New York,Chemical manufacturing,$12564
New York,Primary metal manufacturing,$758
New York,Paper manufacturing,$1511
New York,Food and beverage and tobacco product manufacturing,$10107
New York,Fabricated metal product manufacturing,$3916
New York,Other transportation equipment manufacturing,$1395
